gender,dept,gt,it,wk,l1,category_zh,n_total,n_designs,n_clients,confidence,top_client,top_client_pct,top3_clients,top_iso,top_iso_pct,top_method_en,top_method_pct,ie_avg_sec,iso_count,method_count,top_machine,top_skill,top_section
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,WB,腰頭,284,78,3,high,TARGET,89.8,TARGET(89.8%) / DICKS SPORTING GOODS(5.8%) / A & F(4.4%),301,55.3,Lockstitch,31.5,0.062,6,8,手工-含做記號、翻修等工段,E,做鬆緊帶記號
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,LO,褲口,258,78,3,high,TARGET,93.5,TARGET(93.5%) / DICKS SPORTING GOODS(3.5%) / A & F(3.1%),514,42.6,4-thread Overlock,29.4,0.098,7,12,平車-細針距,B,壓褲口
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,WB,腰頭,247,65,6,high,UNDER ARMOUR,45.4,UNDER ARMOUR(45.4%) / DICKS SPORTING GOODS(34.1%) / TARGET(9.6%),301,58.4,Lockstitch,34.2,0.08,8,12,手工-含做記號、翻修等工段,E,做鬆緊帶記號
BOY,RTW,BOTTOM,PANTS,WOVEN,PS,褲合身,232,35,6,high,GAP,77.2,GAP(77.2%) / ZARA(6.9%) / TARGET(5.2%),514,44.1,4-thread Overlock,33.8,0.027,5,9,五線拷克,B,合內長
MEN,ACTIVE,BOTTOM,PANTS,KNIT,LB,商標,226,86,8,high,OLD NAVY,28.8,OLD NAVY(28.8%) / KOHLS(22.6%) / UNDER ARMOUR(18.6%),301,100.0,Marking,45.6,0.028,1,6,手工-含做記號、翻修等工段,E,做記號
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,LB,商標,225,65,6,high,UNDER ARMOUR,48.0,UNDER ARMOUR(48.0%) / DICKS SPORTING GOODS(32.9%) / TARGET(9.3%),301,100.0,Marking,45.1,0.028,1,5,手工-含做記號、翻修等工段,E,做記號
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,LB,商標,224,78,3,high,TARGET,90.6,TARGET(90.6%) / A & F(5.4%) / DICKS SPORTING GOODS(4.0%),301,100.0,Marking,40.7,0.027,1,4,手工-含做記號、翻修等工段,E,做記號
MEN,RTW,BOTTOM,PANTS,WOVEN,PS,褲合身,224,28,7,high,GU,45.3,GU(45.3%) / WAL-MART-CA(23.3%) / ZARA(13.1%),516,36.6,4-thread Overlock,27.7,0.04,7,11,五線拷克,B,合內長
GIRL,ACTIVE,BOTTOM,PANTS,KNIT,WB,腰頭,221,62,7,high,ATHLETA,28.6,ATHLETA(28.6%) / A & F(25.2%) / OLD NAVY(19.2%),301,42.1,Marking,26.7,0.066,8,11,手工-含做記號、翻修等工段,E,做鬆緊帶記號
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,PK,口袋,220,46,2,low,TARGET,99.1,TARGET(99.1%) / DICKS SPORTING GOODS(0.9%),301,52.3,Lockstitch,24.3,0.058,6,11,平車-細針距,B,打結(四個)
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,SB,剪接線_下身類,215,74,7,high,DICKS SPORTING GOODS,41.0,DICKS SPORTING GOODS(41.0%) / TARGET(40.1%) / BEYOND YOGA(6.0%),301,39.7,Lockstitch,32.1,0.05,7,12,平車-細針距,B,壓直向剪接明線
MEN,ACTIVE,BOTTOM,PANTS,KNIT,LO,褲口,213,86,8,high,KOHLS,28.7,KOHLS(28.7%) / OLD NAVY(26.9%) / GAP(17.0%),301,36.2,Marking,24.3,0.08,7,11,手工-含做記號、翻修等工段,E,修褲口
WOMEN,RTW,BOTTOM,PANTS,WOVEN,WB,腰頭,210,47,10,high,GU,47.0,GU(47.0%) / KOHLS(16.7%) / TARGET(8.8%),301,64.0,Lockstitch,38.6,0.073,6,10,平車-細針距,C,做鬆緊帶記號
MEN,RTW,BOTTOM,PANTS,WOVEN,PK,口袋,208,28,7,high,GU,45.3,GU(45.3%) / WAL-MART-CA(25.0%) / ZARA(9.9%),301,78.6,Lockstitch,35.3,0.074,6,11,平車-細針距,B,打結(四個)
WOMEN,RTW,BOTTOM,PANTS,KNIT,PK,口袋,201,29,8,high,BANANA REPUBLIC,24.1,BANANA REPUBLIC(24.1%) / DICKS SPORTING GOODS(17.9%) / WAL-MART-CA(15.6%),301,50.2,Lockstitch,27.8,0.058,3,8,平車-細針距,E,固定袋布
GIRL,ACTIVE,BOTTOM,PANTS,KNIT,PK,口袋,198,27,5,high,ATHLETA,77.6,ATHLETA(77.6%) / KOHLS(10.0%) / OLD NAVY(5.5%),301,50.3,Lockstitch,21.9,0.044,4,9,平車-細針距,B,做口袋記號
WOMEN,RTW,BOTTOM,PANTS,KNIT,PS,褲合身,194,37,10,high,WAL-MART-CA,17.5,WAL-MART-CA(17.5%) / TARGET(16.0%) / KOHLS(15.5%),514,57.6,4-thread Overlock,42.1,0.048,6,10,四線拷克,B,修頭尾縫份(兩邊)
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,SB,剪接線_下身類,179,57,5,high,DICKS SPORTING GOODS,43.6,DICKS SPORTING GOODS(43.6%) / UNDER ARMOUR(39.9%) / TARGET(5.9%),301,42.9,Lockstitch,33.3,0.046,7,11,平車-細針距,B,做記號
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,DC,繩類,176,133,7,high,TARGET,44.6,TARGET(44.6%) / DICKS SPORTING GOODS(24.4%) / ATHLETA(18.7%),301,99.4,Marking,45.0,0.059,3,7,手工-含做記號、翻修等工段,E,繩固定大身
GIRL,ACTIVE,BOTTOM,PANTS,KNIT,LB,商標,172,62,7,high,ATHLETA,34.3,ATHLETA(34.3%) / A & F(30.8%) / OLD NAVY(17.4%),301,100.0,Marking,44.9,0.026,1,5,手工-含做記號、翻修等工段,E,做記號
GIRL,ACTIVE,BOTTOM,PANTS,WOVEN,LI,裡布,171,72,2,medium,TARGET,92.2,TARGET(92.2%) / DICKS SPORTING GOODS(7.8%),301,55.5,Marking,53.2,0.049,3,5,手工-含做記號、翻修等工段,E,短褲翻修(內裡短褲)
BOY,ACTIVE,BOTTOM,PANTS,WOVEN,PS,褲合身,167,24,3,high,TARGET,65.9,TARGET(65.9%) / A & F(28.1%) / UNDER ARMOUR(6.0%),514,48.1,4-thread Overlock,38.6,0.033,6,9,五線拷克,B,合後襠
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,BS,釦鎖,160,132,7,high,TARGET,53.1,TARGET(53.1%) / DICKS SPORTING GOODS(21.0%) / ATHLETA(14.2%),,,Buttonhole,62.2,0.027,0,4,燙工-手燙,C,燙襯
WOMEN,RTW,BOTTOM,PANTS,KNIT,WB,腰頭,159,37,10,high,KOHLS,20.4,KOHLS(20.4%) / ASICS-EU(15.6%) / DICKS SPORTING GOODS(15.6%),301,44.8,Lockstitch,26.8,0.074,7,11,手工-含做記號、翻修等工段,B,做鬆緊帶記號
MEN,ACTIVE,BOTTOM,SHORTS,WOVEN,PS,褲合身,156,15,3,high,DISTANCE,58.3,DISTANCE(58.3%) / DICKS SPORTING GOODS(25.6%) / TARGET(16.0%),514,46.1,4-thread Overlock,26.0,0.029,7,12,手工-含做記號、翻修等工段,B,做記號
GIRL,ACTIVE,BOTTOM,PANTS,KNIT,LO,褲口,148,62,7,high,ATHLETA,36.4,ATHLETA(36.4%) / A & F(31.8%) / OLD NAVY(14.3%),406,44.2,Coverstitch,23.2,0.056,5,9,手工-含做記號、翻修等工段,E,修褲口
MEN,ACTIVE,BOTTOM,PANTS,WOVEN,LO,褲口,143,64,6,high,UNDER ARMOUR,42.1,UNDER ARMOUR(42.1%) / DICKS SPORTING GOODS(31.6%) / TARGET(13.2%),406,36.0,Marking,20.8,0.075,4,9,手工-含做記號、翻修等工段,B,壓褲口
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,PD,褶,141,74,8,high,OLD NAVY,41.1,OLD NAVY(41.1%) / GAP OUTLET(13.5%) / DICKS SPORTING GOODS(12.8%),301,71.9,Lockstitch,34.1,0.05,6,10,平車-細針距,B,做記號
MEN,ACTIVE,BOTTOM,PANTS,KNIT,SB,剪接線_下身類,136,57,5,high,OLD NAVY,51.8,OLD NAVY(51.8%) / KOHLS(29.1%) / UNDER ARMOUR(9.2%),514,59.3,4-thread Overlock,43.5,0.046,7,10,四線拷克,B,做記號
WOMEN,ACTIVE,BOTTOM,PANTS,WOVEN,OT,其它,132,61,7,high,TARGET,33.8,TARGET(33.8%) / ATHLETA(26.6%) / DICKS SPORTING GOODS(21.7%),301,58.9,Marking,31.0,0.058,8,14,手工-含做記號、翻修等工段,E,其它
WOMEN,ACTIVE,BOTTOM,PANTS,KNIT,SB,剪接線_下身類,127,54,6,high,OLD NAVY,62.2,OLD NAVY(62.2%) / KOHLS(10.2%) / DICKS SPORTING GOODS(8.7%),514,43.5,4-thread Overlock,29.9,0.065,5,8,手工-含做記號、翻修等工段,B,做記號
BOY,RTW,BOTTOM,PANTS,KNIT,PS,褲合身,127,20,5,high,GAP,49.6,GAP(49.6%) / OLD NAVY(21.3%) / GAP OUTLET(13.4%),514,89.4,4-thread Overlock,71.1,0.026,4,8,四線拷克,B,合後襠
